 DT temp [keV]  <sigma*v> [m^3/s]
      0.00000  0.00000e+00
      1.00000  6.85048e-27
      1.02337  7.88461e-27
      1.04729  9.06476e-27
      1.07177  1.04101e-26
      1.09682  1.19420e-26
      1.12245  1.36845e-26
      1.14868  1.56646e-26
      1.17553  1.79121e-26
      1.20301  2.04607e-26
      1.23112  2.33476e-26
      1.25990  2.66144e-26
      1.28934  3.03075e-26
      1.31948  3.44781e-26
      1.35031  3.91834e-26
      1.38187  4.44867e-26
      1.41417  5.04581e-26
      1.44722  5.71751e-26
      1.48105  6.47235e-26
      1.51566  7.31980e-26
      1.55108  8.27030e-26
      1.58734  9.33537e-26
      1.62444  1.05277e-25
      1.66240  1.18611e-25
      1.70125  1.33511e-25
      1.74102  1.50143e-25
      1.78171  1.68693e-25
      1.82335  1.89361e-25
      1.86596  2.12370e-25
      1.90957  2.37961e-25
      1.95420  2.66399e-25
      1.99988  2.97971e-25
      2.04662  3.32994e-25
      2.09445  3.71810e-25
      2.14340  4.14795e-25
      2.19350  4.62355e-25
      2.24476  5.14935e-25
      2.29723  5.73016e-25
      2.35092  6.37123e-25
      2.40586  7.07825e-25
      2.46209  7.85740e-25
      2.51964  8.71537e-25
      2.57852  9.65943e-25
      2.63879  1.06974e-24
      2.70046  1.18379e-24
      2.76358  1.30899e-24
      2.82817  1.44636e-24
      2.89427  1.59696e-24
      2.96191  1.76193e-24
      3.03114  1.94255e-24
      3.10198  2.14013e-24
      3.17448  2.35613e-24
      3.24867  2.59209e-24
      3.32460  2.84968e-24
      3.40230  3.13068e-24
      3.48182  3.43701e-24
      3.56319  3.77070e-24
      3.64647  4.13395e-24
      3.73170  4.52908e-24
      3.81891  4.95860e-24
      3.90817  5.42514e-24
      3.99951  5.93152e-24
      4.09299  6.48076e-24
      4.18865  7.07601e-24
      4.28654  7.72066e-24
      4.38673  8.41827e-24
      4.48925  9.17261e-24
      4.59417  9.98766e-24
      4.70155  1.08676e-23
      4.81143  1.18169e-23
      4.92388  1.28401e-23
      5.03896  1.39420e-23
      5.15673  1.51279e-23
      5.27725  1.64030e-23
      5.40059  1.77728e-23
      5.52681  1.92431e-23
      5.65599  2.08199e-23
      5.78818  2.25094e-23
      5.92346  2.43180e-23
      6.06190  2.62523e-23
      6.20358  2.83193e-23
      6.34857  3.05258e-23
      6.49694  3.28791e-23
      6.64879  3.53864e-23
      6.80418  3.80553e-23
      6.96321  4.08933e-23
      7.12595  4.39081e-23
      7.29250  4.71074e-23
